village_id_rand,treatment,total_bl_villavg,hindi_bl_villavg,math_bl_villavg,english_bl_villavg,total_ely1_villavg,hindi_ely1_villavg,math_ely1_villavg,english_ely1_villavg,total_ely2_villavg,hindi_ely2_villavg,math_ely2_villavg,english_ely2_villavg,total_ely3_villavg,hindi_ely3_villavg,math_ely3_villavg,english_ely3_villavg,child_female_villfrac,child_scst_villfrac,number_students
222,1,6.8125,2.8125,2.3125,1.6875,9.1000004,3.9000001,2.7,2.5,9.125,3.25,3.375,2.5,10.333333,3.6666667,3.5,3.1666667,.625,.1875,16
223,1,6.1612902,2.467742,2.1935484,1.5,9.1470585,3.9411764,2.9411764,2.2647059,8.666667,3.6363637,2.7878788,2.2424242,10.142858,3.8285713,3.2857144,3.0285714,.46774194,.17741935,62
224,0,6.6363635,2.2727273,2.1818182,2.1818182,8.8947372,3.4736843,2.8947368,2.5263157,8.2105265,2.9473684,2.7894738,2.4736843,9.2380953,3.4761906,3.1904762,2.5714285,.54545456,.75757575,33
225,0,7.2222223,2.7037036,2.3333333,2.1851852,10.3125,3.9375,3.25,3.125,9.1999998,3.4666667,2.9333334,2.8,9.6153851,3.9230769,3.0769231,2.6153846,.37037036,.2962963,27
226,1,5.4705882,1.8529412,2,1.6176471,7.5500002,3.0999999,2.5,1.95,8.8235292,3.7058823,3,2.1176472,12,4.1428571,4.0952382,3.7619047,.32352942,.5,34
227,1,4.8461537,2,1.6923077,1.1538461,6.875,3.375,2.125,1.375,6.3333335,3.1666667,2,1.1666666,10.666667,4,3.3333333,3.3333333,.53846157,.92307693,13
228,1,5.7857141,2.5,2.0714285,1.2142857,10.166667,4,3.5,2.6666667,9.7777777,4.6666665,2.8888888,2.2222223,12.25,4.375,3.875,4,.42857143,1,14
229,0,8.8888893,3.6666667,2.6666667,2.5555556,10.615385,4.3076925,3.1538463,3.1538463,11.333333,4.5,3.3333333,3.5,9,3.5714285,2.7142856,2.7142856,.55555558,.11111111,18
230,1,5.78125,2.0625,2.09375,1.625,8,3.1111112,2.3888888,2.5,8.4736843,3.4210527,2.6842105,2.3684211,9.7894735,3.7894738,3.1578948,2.8421052,.53125,.3125,32
231,0,6.0416665,2.125,2.4583333,1.4583334,7.1111112,2.4444444,2.7777777,1.8888888,6.4000001,2.4000001,2.4000001,1.6,7.25,3,2.5,1.75,.5,.41666666,24
232,1,6.4827585,2.1724138,2.4137931,1.8965517,9.9411764,3.7647059,3.4117646,2.7647059,11.294118,4.2941175,3.7058823,3.2941177,12.941176,4.4705882,4.4117646,4.0588236,.51724136,.79310346,29
233,1,6.6923075,2.6923077,2.2692308,1.7307693,9.8235292,4,3.1764705,2.6470587,8.4666662,3.3333333,3,2.1333334,10.307693,3.4615386,3.6923077,3.1538463,.42307693,.5,26
234,0,6.5714288,2.3809524,2.2380953,1.9523809,8.8461542,3.5384614,2.6923077,2.6153846,7.9285712,3.3571429,2.5,2.0714285,9.25,3.9166667,2.9166667,2.4166667,.61904764,.095238097,21
235,0,5.0999999,1.6,1.9,1.6,6.8666668,2.5999999,2.2666667,2,7.3333335,3,2.5,1.8333334,6.6666665,2.7777777,2.2222223,1.6666666,.55000001,1,20
236,0,4.9000001,1.75,1.8,1.35,7.2727275,2.909091,2.1818182,2.1818182,6.0999999,2.0999999,2.5,1.5,5.5,2,2.125,1.375,.44999999,.89999998,20
237,0,6.7272725,2.6666667,2.4848485,1.5757576,8.666667,3.5,3,2.1666667,7.7619047,3.1904762,2.7142856,1.8571428,9.2105265,3.7894738,2.9473684,2.4736843,.5151515,.969697,33
